"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
"Phytosterols",mg,11,--,--,2,27
Amino Acids
"Tryptophan",g,0.057,--,--,0.009,0.140
"Threonine",g,0.182,--,--,0.027,0.448
"Isoleucine",g,0.206,--,--,0.031,0.507
"Leucine",g,0.346,--,--,0.052,0.851
"Lysine",g,0.291,--,--,0.044,0.716
"Methionine",g,0.080,--,--,0.012,0.197
"Cystine",g,0.071,--,--,0.011,0.175
"Phenylalanine",g,0.256,--,--,0.038,0.630
"Tyrosine",g,0.134,--,--,0.020,0.330
"Valine",g,0.215,--,--,0.032,0.529
"Arginine",g,0.501,--,--,0.075,1.232
"Histidine",g,0.134,--,--,0.020,0.330
"Alanine",g,0.213,--,--,0.032,0.524
"Aspartic acid",g,0.544,--,--,0.082,1.338
"Glutamic acid",g,0.882,--,--,0.132,2.170
"Glycine",g,0.223,--,--,0.033,0.549
"Proline",g,0.201,--,--,0.030,0.494
"Serine",g,0.245,--,--,0.037,0.603
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0
Footnotes
(a)"Recipe:  Chickpeas, 79%; lemon juice, 10%; sesame seeds, 5%; olive oil, 5%; and garlic, 1%"
