"Selenium, Se",µg,0.1,--,--,0.2,0.0,0.0,0.0
Vitamins
"Vitamin C, total ascorbic acid",mg,38.7,8,2.474,94.4,11.8,18.6,2.3
"Thiamin",mg,0.024,6,0.006,0.059,0.007,0.012,0.001
"Riboflavin",mg,0.015,4,0.000,0.037,0.005,0.007,0.001
"Niacin",mg,0.091,6,0.006,0.222,0.028,0.044,0.005
"Pantothenic acid",mg,0.131,6,0.016,0.320,0.040,0.063,0.008
"Vitamin B-6",mg,0.046,6,0.006,0.112,0.014,0.022,0.003
"Folate, total",µg,20,4,6.298,49,6,10,1
"Folic acid",µg,0,--,--,0,0,0,0
"Folate, food",µg,20,4,6.298,49,6,10,1
"Folate, DFE",µg,20,--,--,49,6,10,1
"Choline, total",mg,5.1,--,--,12.4,1.6,2.4,0.3
"Vitamin B-12",µg,0.00,--,--,0.00,0.00,0.00,0.00
"Vitamin B-12, added",µg,0.00,--,--,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,1,--,0,0,0,0
"Retinol",µg,0,--,--,0,0,0,0
"Carotene, beta",µg,1,1,--,2,0,0,0
"Carotene, alpha",µg,0,1,--,0,0,0,0
"Cryptoxanthin, beta",µg,4,1,--,10,1,2,0
"Vitamin A, IU",IU,6,1,--,15,2,3,0
"Lycopene",µg,0,1,--,0,0,0,0
"Lutein + zeaxanthin",µg,15,1,--,37,5,7,1
"Vitamin E (alpha-tocopherol)",mg,0.15,--,--,0.37,0.05,0.07,0.01
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,--,--,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.040,--,--,0.098,0.012,0.019,0.002
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000
"6:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"8:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"10:0",g,0.020,1,--,0.049,0.006,0.010,0.001
"12:0",g,0.001,1,--,0.002,0.000,0.000,0.000
"14:0",g,0.002,1,--,0.005,0.001,0.001,0.000
"15:0",g,0.001,1,--,0.002,0.000,0.000,0.000
"16:0",g,0.012,1,--,0.029,0.004,0.006,0.001
"17:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"18:0",g,0.004,1,--,0.010,0.001,0.002,0.000
"20:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"24:0",g,0.000,1,--,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.006,--,--,0.015,0.002,0.003,0.000
"14:1",g,0.002,1,--,0.005,0.001,0.001,0.000
"15:1",g,0.000,1,--,0.000,0.000,0.000,0.000
"16:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000
"16:1 c",g,0.000,1,--,0.000,0.000,0.000,0.000
"16:1 t",g,0.000,1,--,0.000,0.000,0.000,0.000
"17:1",g,0.000,1,--,0.000,0.000,0.000,0.000
"18:1 undifferentiated",g,0.004,--,--,0.010,0.001,0.002,0.000
"18:1 c",g,0.004,1,--,0.010,0.001,0.002,0.000
"18:1 t",g,0.000,1,--,0.000,0.000,0.000,0.000
"20:1",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000
"22:1 c",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:1 t",g,0.000,1,--,0.000,0.000,0.000,0.000
"24:1 c",g,0.000,1,--,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.021,--,--,0.051,0.006,0.010,0.001
"18:2 undifferentiated",g,0.012,--,--,0.029,0.004,0.006,0.001
"18:2 n-6 c,c",g,0.012,1,--,0.029,0.004,0.006,0.001
"18:2 CLAs",g,0.000,1,--,0.000,0.000,0.000,0.000
"18:2 t not further defined",g,0.000,1,--,0.000,0.000,0.000,0.000
"18:3 undifferentiated",g,0.009,--,--,0.022,0.003,0.004,0.001
"18:3 n-3 c,c,c (ALA)",g,0.009,1,--,0.022,0.003,0.004,0.001
"18:3 n-6 c,c,c",g,0.000,1,--,0.000,0.000,0.000,0.000
"18:4",g,0.000,1,--,0.000,0.000,0.000,0.000
"20:2 n-6 c,c",g,0.000,1,--,0.000,0.000,0.000,0.000
"20:3 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000
"20:3 n-6",g,0.000,1,--,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,1,--,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:4",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,1,--,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,1,--,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000
"Fatty acids, total trans-monoenoic",g,0.000,--,--,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0
Amino Acids
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0
Flavonoids
Flavan-3-ols
"(+)-Catechin",mg,0.0,1,--,0.0,0.0,0.0,0.0
Flavanones
"Eriodictyol",mg,4.9,31,0.190,11.9,1.5,2.3,0.3
"Hesperetin",mg,14.5,32,4.830,35.3,4.4,6.9,0.9
"Naringenin",mg,1.4,28,0.720,3.4,0.4,0.7,0.1
Flavones
"Apigenin",mg,0.0,10,0.000,0.0,0.0,0.0,0.0
"Luteolin",mg,0.0,1,--,0.0,0.0,0.0,0.0
Flavonols
"Kaempferol",mg,0.0,2,--,0.0,0.0,0.0,0.0
"Myricetin",mg,0.0,2,--,0.0,0.0,0.0,0.0
"Quercetin",mg,0.4,10,0.210,0.9,0.1,0.2,0.0
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00,0.00,0.00
"Genistein",mg,0.00,1,--,0.00,0.00,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00,0.00,0.00


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Anlaysis Program Wave 12h",2008,,BeltsvilleMD
2,"Produce Marketing Association (PMA)","Nutrient Content of Raw Lemon/Juice",1990,,MD
3,"Berhow, M., Tisserat, B., Kanes, K., and Vandercook, C.","Survey of phenolic compounds produced in citrus.",1998,Technical Bulletin Number 1856, ARS, USDA, December 1998.,
4,"Grandi, R., Trifiro, A., Gherardi, S. Calza, M., and Saccani G.","Characterization of lemon juice on the basis of flavonoid content.",1994,Fruit Processing,11 pp. 355-355
5,"Mouly, P. P., Arzouyan, C. R., Gaydou, E. M., and Estienne, J. M.","Differentiation of citrus juices by factorial discriminant analysis using liquid chromatography of flavanone glycosides",1994,J. Agric. Food Chem.,42 pp. 70-70
6,"Hertog, M. G. L., Hollman, P. C. H., and van de Putte, B.","Content of potentially anticarcinogenic flavonoids of tea infusions, wines, and fruit juices.",1993,J. Agric. Food Chem.,41 pp. 1242-1242
7,"Liggins, J., Bluck, L. J. C., Runswick, S., Atkinson, C., Coward, W. A., Bingham, S. A.","Daidzein and genistein content of fruits and nuts.",2000,J. Nutr. Biochem.,11 pp. 326-326
Footnotes
(a)"Mean value contains data based on the analysis of 5-methyltetrahydrofolate plus total folate determined microbiologically"
