"Cystine",g,0.239,--,--,0.206,0.013
"Phenylalanine",g,0.941,--,--,0.809,0.051
"Tyrosine",g,0.735,--,--,0.632,0.040
"Valine",g,1.177,--,--,1.012,0.064
"Arginine",g,1.111,--,--,0.955,0.060
"Histidine",g,0.339,--,--,0.292,0.018
"Alanine",g,0.904,--,--,0.777,0.049
"Aspartic acid",g,1.953,--,--,1.680,0.105
"Glutamic acid",g,2.948,--,--,2.535,0.159
"Glycine",g,0.879,--,--,0.756,0.047
"Proline",g,0.838,--,--,0.721,0.045
"Serine",g,0.846,--,--,0.728,0.046
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,230,1,--,198,12
"Theobromine",mg,2057,1,--,1769,111
Flavonoids
Flavan-3-ols
"(+)-Catechin",mg,64.8,13,14.530,55.7,3.5
"(-)-Epicatechin",mg,196.4,13,45.380,168.9,10.6
Flavonols
"Quercetin",mg,10.0,11,2.360,8.6,0.5
Proanthocyanidin
"Proanthocyanidin dimers",mg,277.1,12,131.980,238.3,15.0
"Proanthocyanidin trimers",mg,195.7,12,93.670,168.3,10.6
"Proanthocyanidin 4-6mers",mg,419.1,12,336.890,360.4,22.6
"Proanthocyanidin 7-10mers",mg,925.2,12,875.930,795.7,50.0
"Proanthocyanidin polymers (>10mers)",mg,2435.1,9,1354.960,2094.2,131.5
1,"Gu, L., House, S.E., Wu, X., Ou, B., and Prior, R.L.","Procyanidin and catechin content and antioxidany capacity of cocoa and chocolate products",2006,J. Agric. Food Chem.,54 pp. 4057-4057
2,"Hellström, Törrönen, A.R., and Matilla, P.H.","Proanthocyanidins in common food products of plant origin",2009,J. Agric. Food Chem.,57 pp. 7899-7899
3,"Masterfoods, Inc., Hackettstown, New Jersey,","Unpublished data.",2004,, pp. 7899-7899
4,"Miller, K.B., Hurst, W.J., Payne, M.J., Stuart, D.A., Apgar, J., Sweigart, D.S., and Ou, B.","Impact of alkalizationon the antioxidant and flavanol content of commercial cocoa powders",2008,J. Agric. Food Chem.,56 pp. 8527-8527
5,"Andres-Laceuva, C., Monogas, M., Khan, N., Izquierdo-Pulido, M., Urpi-Sarda, M., Permanyer, J., and Lamuela-Raventos, R. M.","Flavanol and flavonol contents of cocoa powder products: Influence of the manufacturing process.",2008,J. Agric. Food Chem.,56 pp. 3111-3111
6,"Gu, L., House, S. E., Wu, X., Ou, B., and Prior, R.","Procyanidin and catechin contents and antioxidant capacity of cocoa and chocolate products.",2006,J. Agric. Food Chem.,54 pp. 4057-4057
7,"Lamuela-Raventós, R. M., Andrés-Lacueva, Permanyer, J., and Izquierdo-Pulido, M.","More antioxidants in cocoa.",2001,J. Nutr,,131 pp. 834-834



