"12:0",g,0.000,2,--,0.000,0.000
"14:0",g,0.025,2,--,0.012,0.035
"15:0",g,0.000,2,--,0.000,0.000
"16:0",g,2.210,2,--,1.017,3.094
"17:0",g,0.020,2,--,0.009,0.028
"18:0",g,1.690,2,--,0.777,2.366
"20:0",g,0.115,2,--,0.053,0.161
"22:0",g,0.320,2,--,0.147,0.448
"24:0",g,0.075,2,--,0.034,0.105
"Fatty acids, total monounsaturated",g,18.528,--,--,8.523,25.939
"14:1",g,0.000,2,--,0.000,0.000
"15:1",g,0.000,2,--,0.000,0.000
"16:1 undifferentiated",g,0.020,2,--,0.009,0.028
"17:1",g,0.015,2,--,0.007,0.021
"18:1 undifferentiated",g,18.380,2,--,8.455,25.732
"20:1",g,0.085,2,--,0.039,0.119
"22:1 undifferentiated",g,0.029,2,--,0.013,0.041
"24:1 c",g,0.000,2,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,23.137,--,--,10.643,32.392
"18:2 undifferentiated",g,23.050,2,--,10.603,32.270
"18:3 undifferentiated",g,0.060,2,--,0.028,0.084
"18:4",g,0.014,2,--,0.006,0.020
"20:2 n-6 c,c",g,0.000,2,--,0.000,0.000
"20:3 undifferentiated",g,0.000,2,--,0.000,0.000
"20:4 undifferentiated",g,0.000,2,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.014,2,--,0.006,0.020
"21:5",g,0.000,2,--,0.000,0.000
"22:4",g,0.000,2,--,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,2,--,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,2,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
"Phytosterols",mg,534,--,--,246,748
Amino Acids
"Tryptophan",g,0.348,25,--,0.160,0.487
"Threonine",g,0.928,41,--,0.427,1.299
"Isoleucine",g,1.139,41,--,0.524,1.595
"Leucine",g,1.659,41,--,0.763,2.323
"Lysine",g,0.937,44,--,0.431,1.312
"Methionine",g,0.494,40,--,0.227,0.692
"Cystine",g,0.451,26,--,0.207,0.631
"Phenylalanine",g,1.169,40,--,0.538,1.637
"Tyrosine",g,0.666,31,--,0.306,0.932
"Valine",g,1.315,41,--,0.605,1.841
"Arginine",g,2.403,35,--,1.105,3.364
"Histidine",g,0.632,35,--,0.291,0.885
"Alanine",g,1.117,26,--,0.514,1.564
"Aspartic acid",g,2.446,26,--,1.125,3.424
"Glutamic acid",g,5.579,26,--,2.566,7.811
"Glycine",g,1.461,26,--,0.672,2.045
"Proline",g,1.182,25,--,0.544,1.655
"Serine",g,1.075,26,--,0.494,1.505
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0
Flavonoids
Isoflavones
"Daidzein",mg,0.00,3,0.000,0.00,0.00
"Genistein",mg,0.00,3,0.000,0.00,0.00
"Total isoflavones",mg,0.00,3,0.000,0.00,0.01
"Biochanin A",mg,0.01,3,0.000,0.00,0.01
"Formononetin",mg,0.03,3,0.000,0.01,0.04
"Coumestrol",mg,0.01,3,0.000,0.00,0.01


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program, Wave 9p",2005,,BeltsvilleMD
2,"Nutrient Data Laboratory, ARS, USDA","Investigation of the carbohydrate fraction of foods . . . raw, processed and prepared",1985,,BeltsvilleMD
3,"O.E. Olson, I.S. Palmer","Selenium in foods purchased or produced in South Dakota",1984,Journal of Food Science,49MD
4,"M.M. Delgado-Zamarreno, M. Bustamante-Rangel, A. Sanchez-Perez, J. Hernandez-Mendez","Analysis of vitamin D isomers in seeds & nuts with & without coupled hydrolysis by liquid chromatography & coulometric detection",2001,J. Chromatogr. A.,935MD pp. 77-77
5,"National Sunflower Association","Phytochemicals in sunflower kernel (Helianthus annus L.) and selected tree nuts",2001,,BismarkND pp. 77-77
6,"Mazur, W., Fotsis, T., Wähälä, K., Ojala, S., Salakka, A. and Adlercreutz, H.","Isotope dilution gas chromatographic-mass spectrometric method for the determination of isoflavonoids, coumestrol, and lignans in food samples.",1996,Anal. Biochem.,233 pp. 169-169
