"Myricetin",mg,0.1,2,--,0.1,0.0,0.0
"Quercetin",mg,0.2,27,0.100,0.6,0.1,0.2
1,"Mullen, W., Marks, S., and Crozier, A.","Evaluation of phenolic compounds in commercial fruit juices and fruit drinks.",2007,J. Agric. Food Chem.,55 pp. 3148-3148
2,"Berhow, M., Tisserat, B., Kanes, K., and Vandercook, C.","Survey of phenolic compounds produced in citrus.",1998,Technical Bulletin Number 1856, ARS, USDA, December 1998., pp. 3148-3148
3,"Careri, M., Elviri, L. Mangia, A., and Musci, M.","Spectrophotometric and coulometric detection in the high-performance liquid chromatography of flavonoids and optimization of sample treatment for the determination of quercetin in orange juice.",2000,J. Chromatogr. A,881 pp. 449-449
4,"Marini, D., and Balestrieri, F.","Multivariate analysis of flavanone glycosides in citrus juices.",1995,Ital. J. Food sci.,3 pp. 255-255
5,"Mouly, P. P., Arzouyan, C. R., Gaydou, E. M., and Estienne, J. M.","Differentiation of citrus juices by factorial discriminant analysis using liquid chromatography of flavanone glycosides",1994,J. Agric. Food Chem.,42 pp. 70-70
6,"Belajová, E. and Suhaj, M.","Determination of phenolic constituents in citrus juices: Method of high performance liquid chromatography.",2004,Food Chemistry,86 pp. 339-339
7,"del Caro, A., Piga, A., Vacca, V., and Agabbio, M.","Changes of flavonoids, vitamin C, and antioxidant capacity in minimally processed citrus segments and juices during storage.",2004,Food Chemistry,84 pp. 99-99
8,"Dhuique-Mayer, C., Caris-Veyrat, C., Ollitrault, P., Curk, F., and Amiot, M-J.","Varietal and interspecific influence on micronutrient contents in citrus from the Mediterranean area.",2005,J. Agric. Food Chem.,53 pp. 2140-2140
9,"Gamache, P., Ryan, E., and Acworth, I. N.","Analysis of phenolic and flavonoid compounds in juice beverages using high-performance liquid chromatography with coulometric array detection.",1993,J. Chromatogr.,635 pp. 143-143
10,"Justesen, U., Knuthsen, P., and Leth, T.","Quantitative analysis of flavonols, flavones, and flavonones in fruits, vegetables and beverages by high-performance liquid chromatography with photo-diode array and mass spectrometric detection.",1998,J. Chromatogr. A,799 pp. 101-101
11,"Proteggente, A.R., Saija, A., De Pasquale, A., and Rice-Evans, C.A.","The compositional characterisation and antioxidant activity of fresh juices from Sicilian sweet orange (Citrus sinensis L. Osbeck) varieties",2003,Free Radical Research,376 pp. 681-681
12,"Pupin A. M., Dennis, M. J., and Toledo, M. C. F.","Flavanone glycosides in Brazilian orange juice.",1998,Food Chem.,616 pp. 275-275
13,"Sanchez-Moreno, C., Plaza, L., de Ancos, B., and Cano., M.P.","Quantitative bioactive compounds assessment and their relative contribution to the antioxidant capacity of commercial orange juices.",2003,J. Sci. Food Agric.,835 pp. 430-430
14,"Sanchez-Moreno, C., Plaza, L., de Ancos, B., and Cano., M.P.","Effect of high-pressure processing on health-promoting attributes of freshly squeezed orange juice (Citrus sinensis L.) during chilled storage.",2003,Eur. Food Res. Technol.,2165 pp. 18-18
15,"Vanamala, J., Reddivari, L., Yoo, K. S., Pike, L. M., and Patil, B. S.","Variation in the content of bioactive flavonoids in different brands of orange and grapefruit juices.",2006,J. Food Comp. Anal.,195 pp. 157-157
16,"Hertog, M. G. L., Hollman, P. C. H., and van de Putte, B.","Content of potentially anticarcinogenic flavonoids of tea infusions, wines, and fruit juices.",1993,J. Agric. Food Chem.,415 pp. 1242-1242
