"Leucine",g,0.029,--,--,0.048,0.041,0.045
"Lysine",g,0.038,--,--,0.063,0.053,0.059
"Methionine",g,0.009,--,--,0.015,0.013,0.014
"Cystine",g,0.010,--,--,0.017,0.014,0.015
"Phenylalanine",g,0.021,--,--,0.035,0.029,0.032
"Tyrosine",g,0.013,--,--,0.021,0.018,0.020
"Valine",g,0.026,--,--,0.043,0.036,0.040
"Arginine",g,0.115,--,--,0.190,0.161,0.177
"Histidine",g,0.013,--,--,0.021,0.018,0.020
"Alanine",g,0.032,--,--,0.053,0.045,0.049
"Aspartic acid",g,0.139,--,--,0.229,0.195,0.214
"Glutamic acid",g,0.247,--,--,0.408,0.346,0.380
"Glycine",g,0.023,--,--,0.038,0.032,0.035
"Proline",g,0.181,--,--,0.299,0.253,0.279
"Serine",g,0.037,--,--,0.061,0.052,0.057
Other
Flavonoids
Anthocyanidins
"Cyanidin",mg,0.00,3,0.000,0.00,0.00,0.00
"Petunidin",mg,0.0,3,0.000,0.0,0.0,0.0
"Delphinidin",mg,0.0,3,0.000,0.0,0.0,0.0
"Malvidin",mg,0.0,3,0.000,0.0,0.0,0.0
"Pelargonidin",mg,0.0,3,0.000,0.0,0.0,0.0
"Peonidin",mg,0.0,3,0.000,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,0.0,3,0.000,0.0,0.0,0.0
"(-)-Epigallocatechin",mg,0.0,3,0.000,0.0,0.0,0.0
"(-)-Epicatechin",mg,0.0,3,0.000,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,0.0,3,0.000,0.0,0.0,0.0
"(+)-Gallocatechin",mg,0.0,3,0.000,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,21.9,6,6.520,36.1,30.6,33.7
"Naringenin",mg,7.1,6,2.220,11.7,9.9,10.9
Flavones
"Apigenin",mg,0.0,6,0.000,0.0,0.0,0.0
"Luteolin",mg,0.7,6,0.180,1.2,1.0,1.1
Flavonols
"Kaempferol",mg,0.0,3,0.000,0.0,0.0,0.0
"Myricetin",mg,0.0,6,0.000,0.0,0.0,0.0
"Quercetin",mg,0.2,6,0.050,0.3,0.3,0.3
Isoflavones
"Daidzein",mg,0.00,1,--,0.00,0.00,0.00
"Genistein",mg,0.00,1,--,0.00,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00,0.00
"Total isoflavones",mg,0.00,1,--,0.00,0.00,0.00
"Formononetin",mg,0.00,1,--,0.00,0.00,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,0.0,1,--,0.0,0.0,0.0
"Proanthocyanidin trimers",mg,0.0,1,--,0.0,0.0,0.0
"Proanthocyanidin 4-6mers",mg,0.0,1,--,0.0,0.0,0.0
"Proanthocyanidin 7-10mers",mg,0.0,1,--,0.0,0.0,0.0
"Proanthocyanidin polymers (>10mers)",mg,0.0,1,--,0.0,0.0,0.0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5i",2001,,BeltsvilleMD
2,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5f",2001,,BeltsvilleMD
3,"Nutrient Data Laboratory, ARS, USDA","Dietary Fiber and Sugars in Commonly Consumed Foods",1994,,BeltsvilleMD
4,"National Institutes of Health (NIH)","Carotenoid analyses of U.S. foods, Food Composition Laboratory",1997,,MD
5,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Screening foods containing proanthocyanidins and their structural characterization using LC-MS/MS and thiolytic degradation",2003,J. Agric. Food Chem.,51 pp. 7513-7513
6,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S.","Deternination of 20 prominent flavonoids (as aglycones) in oranges.",,Unpublished, pp. 7513-7513
7,"Franke, A.A., Custer, L.J., Arakaki, C., and Murphy, S.P.","Vitamin C and flavonoid levels of fruits and vegetables consumed in Hawaii.",2004,J. Food Comp. Anal.,17 pp. 1-1
8,"Thompson, L. U., Boucher, B. A., Liu, Z., Cotterchio, M., and Kreiger, N.","Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan.",2006,Nutr. Cancer,54 pp. 184-184
