"Vitamin A, RAE",µg,3,14,0.155,4,3,7,5,4,3,7
"Retinol",µg,0,--,--,0,0,0,0,0,0,0
"Carotene, beta",µg,27,14,1.662,34,29,60,49,40,27,65
"Carotene, alpha",µg,0,14,0.000,0,0,0,0,0,0,0
"Cryptoxanthin, beta",µg,11,14,0.926,14,12,25,20,16,11,27
"Vitamin A, IU",IU,54,14,3.108,68,59,120,98,80,55,131
"Lycopene",µg,0,14,0.000,0,0,0,0,0,0,0
"Lutein + zeaxanthin",µg,29,14,1.132,36,32,65,53,43,29,70
"Vitamin E (alpha-tocopherol)",mg,0.18,10,--,0.23,0.20,0.40,0.33,0.27,0.18,0.44
"Vitamin E, added",mg,0.00,--,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, beta",mg,0.00,10,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, gamma",mg,0.00,10,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Tocopherol, delta",mg,0.00,10,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,--,--,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,2.2,20,0.079,2.8,2.4,4.9,4.0,3.3,2.2,5.3
Lipids
"Fatty acids, total saturated",g,0.028,--,--,0.035,0.031,0.062,0.051,0.042,0.028,0.068
"4:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"12:0",g,0.000,1,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"14:0",g,0.001,1,--,0.001,0.001,0.002,0.002,0.001,0.001,0.002
"16:0",g,0.024,4,--,0.030,0.026,0.054,0.044,0.036,0.024,0.058
"18:0",g,0.003,4,--,0.004,0.003,0.007,0.005,0.004,0.003,0.007
"Fatty acids, total monounsaturated",g,0.007,--,--,0.009,0.008,0.016,0.013,0.010,0.007,0.017
"16:1 undifferentiated",g,0.000,1,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"18:1 undifferentiated",g,0.007,4,--,0.009,0.008,0.016,0.013,0.010,0.007,0.017
"20:1",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.051,--,--,0.064,0.056,0.114,0.093,0.076,0.052,0.123
"18:2 undifferentiated",g,0.043,4,--,0.054,0.047,0.096,0.078,0.064,0.043,0.104
"18:3 undifferentiated",g,0.009,4,--,0.011,0.010,0.020,0.016,0.013,0.009,0.022
"18:4",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total trans",g,0.000,--,--,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,--,--,0,0,0,0,0,0,0
"Phytosterols",mg,12,--,--,15,13,27,22,18,12,29
Amino Acids
"Tryptophan",g,0.001,--,--,0.001,0.001,0.002,0.002,0.001,0.001,0.002
"Threonine",g,0.006,--,--,0.007,0.007,0.013,0.011,0.009,0.006,0.015
"Isoleucine",g,0.006,--,--,0.007,0.007,0.013,0.011,0.009,0.006,0.015
"Leucine",g,0.013,--,--,0.016,0.014,0.029,0.024,0.019,0.013,0.031
"Lysine",g,0.012,--,--,0.015,0.013,0.027,0.022,0.018,0.012,0.029
"Methionine",g,0.001,--,--,0.001,0.001,0.002,0.002,0.001,0.001,0.002
"Cystine",g,0.001,--,--,0.001,0.001,0.002,0.002,0.001,0.001,0.002
"Phenylalanine",g,0.006,--,--,0.007,0.007,0.013,0.011,0.009,0.006,0.015
"Tyrosine",g,0.001,--,--,0.001,0.001,0.002,0.002,0.001,0.001,0.002
"Valine",g,0.012,--,--,0.015,0.013,0.027,0.022,0.018,0.012,0.029
"Arginine",g,0.006,--,--,0.007,0.007,0.013,0.011,0.009,0.006,0.015
"Histidine",g,0.005,--,--,0.006,0.005,0.011,0.009,0.007,0.005,0.012
"Alanine",g,0.011,--,--,0.014,0.012,0.025,0.020,0.016,0.011,0.027
"Aspartic acid",g,0.070,--,--,0.087,0.076,0.156,0.127,0.104,0.071,0.169
"Glutamic acid",g,0.025,--,--,0.031,0.027,0.056,0.045,0.037,0.025,0.061
"Glycine",g,0.009,--,--,0.011,0.010,0.020,0.016,0.013,0.009,0.022
"Proline",g,0.006,--,--,0.007,0.007,0.013,0.011,0.009,0.006,0.015
"Serine",g,0.010,--,--,0.013,0.011,0.022,0.018,0.015,0.010,0.024
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Caffeine",mg,0,--,--,0,0,0,0,0,0,0
"Theobromine",mg,0,--,--,0,0,0,0,0,0,0
Flavonoids
Anthocyanidins
"Cyanidin",mg,1.57,95,0.280,1.96,1.71,3.50,2.86,2.34,1.59,3.80
"Petunidin",mg,0.0,20,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Delphinidin",mg,0.0,24,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Malvidin",mg,0.0,20,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pelargonidin",mg,0.0,24,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Peonidin",mg,0.0,22,0.010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavan-3-ols
"(+)-Catechin",mg,1.3,140,0.070,1.6,1.4,2.9,2.4,1.9,1.3,3.1
"(-)-Epigallocatechin",mg,0.3,59,0.070,0.3,0.3,0.6,0.5,0.4,0.3,0.6
"(-)-Epicatechin",mg,7.5,150,0.440,9.4,8.2,16.8,13.7,11.2,7.6,18.2
"(-)-Epicatechin 3-gallate",mg,0.0,59,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(-)-Epigallocatechin 3-gallate",mg,0.2,59,0.110,0.2,0.2,0.4,0.3,0.3,0.2,0.5
"(+)-Gallocatechin",mg,0.0,59,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavanones
"Hesperetin",mg,0.0,19,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naringenin",mg,0.0,19,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flavones
"Apigenin",mg,0.0,51,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Luteolin",mg,0.1,42,0.080,0.1,0.1,0.3,0.2,0.2,0.1,0.3
Flavonols
"Kaempferol",mg,0.1,37,0.070,0.2,0.2,0.3,0.3,0.2,0.1,0.3
"Myricetin",mg,0.0,53,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Quercetin",mg,4.0,139,0.120,5.0,4.4,8.9,7.3,6.0,4.1,9.7
Isoflavones
"Daidzein",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Genistein",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Glycitein",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total isoflavones",mg,0.00,5,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Formononetin",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Coumestrol",mg,0.00,1,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Proanthocyanidin
"Proanthocyanidin dimers",mg,13.2,185,13.060,16.5,14.4,29.5,24.1,19.7,13.4,32.0
"Proanthocyanidin trimers",mg,8.0,39,3.180,10.0,8.8,17.9,14.6,12.0,8.1,19.5
"Proanthocyanidin 4-6mers",mg,24.7,27,7.940,30.9,26.9,55.0,44.9,36.8,24.9,59.7
"Proanthocyanidin 7-10mers",mg,19.2,27,7.490,24.0,20.9,42.8,35.0,28.6,19.4,46.5
"Proanthocyanidin polymers (>10mers)",mg,28.8,27,13.270,36.0,31.4,64.2,52.4,42.9,29.1,69.7


Sources of Data
1,"Produce Marketing Association (PMA)","Nutrient Content of Apple",1990,,
2,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5j",2001,,BeltsvilleMD
3,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 5b",2000,,BeltsvilleMD
4,"Nutrient Data Laboratory, ARS, USDA","NDL Report Vitamin E 1997",1997,,BeltsvilleMD
5,"N.J. Miller-Ihli","Atomic absorption and atomic emission spectrometry for the determination of the trace element content of selected fruits consumed in the United States",1996,Journal of Food Composition and Analysis,94 pp. 301-301
6,"Bouayed, J., Dueber, H., Hoffman, L., and Bohn, T.","Bioaccessible and dialyzable polyphenols in selected apple varieties following in vitro gigestion vs. their native patterns",2012,Food Chem.,131 pp. 1466-1466
7,"Ceymann, M., Arrigoni, E., Schärer, H., Bozzi, A., and Hurrell, R.F.","Identification of apples rich in health-promoting flava-3-ols and phenolic acids by measuring the polyphenol profile",2012,J. Food Comp. Anal.,26 pp. 128-128
8,"de Pascual-Teresa, S., Santos-Buelga, C., and Rivas-Gonzalo, J.C.","Quantitative analysis of flavan-3-ols in Spanish foodstuffs and beverages",2000,J. Agric. Food Chem.,48 pp. 5331-5331
9,"Gu, L., Kelm, M.A., Hammerstone, J.F., Beecher, G., Holden, J., Haytowitz, D., Gebhardt, S., and Prior, R.L.","Concentrations of proanthocyanidins in common foods and estimations of normal consumption",2004,J. Nutr.,134 pp. 613-613
10,"Hellström, Törrönen, A.R., and Matilla, P.H.","Proanthocyanidins in common food products of plant origin",2009,J. Agric. Food Chem.,57 pp. 7899-7899
11,"Lee, K.W., Kim, Y.J., Kim, D-O., Lee, H.J., and lee C.Y.","Major phenolics in apple and their contribution to the total antioxidant capacity",2003,J. Agric. Food Chem.,57 pp. 6516-6516
12,"Panzella, L., Petriccione, M., Rega, P., Scortichini, M., and Napolitano, A.","A reappraisal of traditional apple cultivars from Southern Italy as a rich source of phenols with superior antioxidant activity",2013,Food Chem.,140 pp. 672-672
13,"Valvanidis, A., Vlachogianni, T., Psomas, A., Zovoili, A., and Siatis, V.","Polyphenolic profile and antioxidant activity of five apple cultivars grown under organic and conventional agricultural practices",2009,Int. J. Food Sci. Technol.,44 pp. 1167-1167
14,"Vrhovsek, U., Rigo, A., Tonon, D., and Mattivi, F.","Quantitation of polyphenols in different apple varieties",2004,J. Agric. Food Chem.,52 pp. 6532-6532
15,"Arabbi, P. R., Genovese, M. I., and Lajolo, F. M.","Flavonoids in vegetable foods commonly consumed in Brazil and estimated ingestion by the Brazilian population.",2004,J. Agric. Food Chem.,525 pp. 1124-1124
16,"Franke, A.A., Custer, L.J., Arakaki, C., and Murphy, S.P.","Vitamin C and flavonoid levels of fruits and vegetables consumed in Hawaii.",2004,J. Food Comp. Anal.,175 pp. 1-1
17,"Harnly, J. M., Doherty, R., Beecher, G. R., Holden, J. M., Haytowitz, D. B., and Bhagwat, S., and Gebhardt S.","Flavonoid content of U.S. fruits, vegetables, and nuts",2006,J. Agric. Food Chem.,545 pp. 9966-9966
18,"Valavanidis, A., Vlachogianni, T., Psomas, A., Zovoili, A., and Siatis, V.","Polyphenolic profile and antioxidant activity of five apple cultivars grown under organic and conventional agricultural practices.",2009,Int. J. Food Sci. Technol.,1445 pp. 1167-1167
19,"van der Sluis, A.A., Dekker, M., de Jager, A., and Jongen, W.M.F.","Activity and concentration of polyphenolic antioxidants in apple: Effect of cultivar, harvest year, and storage conditions.",2001,J. Agric. Food Chem.,498 pp. 3606-3606
20,"Vrhovsek, U., Rigo, A., Tonon, D., and Mattivi, F.","Quantitation of polyphenols in different apple varieties.",2004,J. Agric. Food Chem.,528 pp. 6532-6532
21,"Wu, X., Beecher, G. R., Holden, J. M., Haytowitz, D. B., Gebhardt, S. E., and Prior, R. L.","Concentrations of anthocyanins in common foods in the United States and estimation of normal consumption.",2006,J. Agric. Food Chem.,548 pp. 4069-4069
22,"Arts, I. C. W., van de Putte, B., and Hollman, P. C. H.","Catechin content of foods commonly consumed in the Netherlands. 1. Fruits, vegetables, staple foods and processed foods.",2000,J. Agric. Food Chem.,488 pp. 1746-1746
23,"de Pascual-Teresa, S., Santos-Buelga, C., & Rivas-Gonzalo, J.C.","Quantitative analysis of flavan-3-ols in Spanish foodstuffs and beverages.",2000,J. Agric. Food Chem.,488 pp. 5331-5331
24,"Dragovic-Uzelac, V., Pospisil, J., Levaj, B., and Delonga, K.","The study of phenolic profiles of raw apricots and apples and their purees by HPLC for the evaluation of apricot nectars and jams authenticity.",2005,Food Chemistry,918 pp. 373-373
25,"Tsanova-Savova, S., Ribarova, F., and Gerova, M.","(+)-Catechin and (-)-Epicatechin in Bulgarian fruits.",2005,J. Food Comp. Anal.,188 pp. 691-691
26,"Lee, K.W., Kim, Y.J., Kim, D-O., Lee, H.J., and Lee, C.Y.","Major phenolics in apple and their contribution to the total antioxidant capacity",2003,J. Agric. Food Chem.,518 pp. 6516-6516
27,"Hertog, M. G. L., Hollman, P. C. H., and Katan, M. B.","Content of potentially anticarcinogenic flavonoids of 28 vegetables and fruits commonly consumed in The Netherlands.",1992,J. Agric. Food Chem.,408 pp. 2379-2379
28,"Lugasi, A. and Hovari, J.","Flavonoid aglycons in foods of plant origin II. Fresh and dried fruits.",2002,Acta Alimentaria,311 pp. 63-63
29,"Ribani, H. F., Huber, L. S., and Ridriguez-Amaya, D. B.","Flavonols in fresh and processed Brazilian fruits.",2009,J. Food Comp. Anal.,221 pp. 263-263
30,"Sampson, L., Rimm, E., Hollman, P.C.H., de Vries, J.H.M., and Katan, M.B.","Flavonol and flavone intakes in US health professionals",2002,J. Am. Diet. Assoc.,10210 pp. 1414-1414
31,"Arai, Yusuke, Watanabe, S., Kimira, M., Shimoi, K., Mochizuki, R., and Kinae, N.","Dietary intakes of flavonols and isoflavones by Japanese women and inverse correlation between quercetin intake and plasma LDL cholesterol concentration",2000,J. Nutr.,13010 pp. 2243-2243
32,"Kevers, C., Falkowski, M., Tabart, J., Defraigne, J-O., Dommes, J., and Pincemail, J.","Evolution of antioxidant capacity during storage of selected fruits and vegetables",2007,J. Agric. Food Chem.,5510 pp. 8596-8596
33,"Mattila, P., Astola, J., and Kumpulainen, J.","Determination of flavonoids in plant material by HPLC with diode-array and electro-array detection.",2000,J. Agric. Food Chem.,4810 pp. 5834-5834
34,"Price, K. R., Prosser, T., Richetin, A. M. F., and Rhodes, M. J. C.","A comparison of the flavonol content and composition of dessert, cooking and cider-making apples; distribution within the fruit and effect of juicing.",1999,Food Chem.,6610 pp. 489-489
35,"Horn-Ross, P. L., Barnes, S., Lee, M., Coward, L., Mandel, E., Koo, J., John, E. M., and Smith, M.","Assesing phytoestrogen exposure in epidemiologic studies: development of a database (United States).",2000,Cancer Causes and Control,1110 pp. 289-289
36,"Liggins, J., Bluck, L. J. C., Runswick, S., Atkinson, C., Coward, W. A., Bingham, S. A.","Daidzein and genistein content of fruits and nuts.",2000,J. Nutr. Biochem.,1110 pp. 326-326
37,"Thompson, L. U., Boucher, B. A., Liu, Z., Cotterchio, M., and Kreiger, N.","Phytoestrogen content of foods consumed in Canada, including isoflavones, lignans, and coumestan.",2006,Nutr. Cancer,5410 pp. 184-184
Footnotes
(b)"3 and 5 pound bags of apples typically contain small and extra small sizes."
(a)"Based on analytical data for red delicious, golden delicious, gala, granny smith, and fuji varieties."
