"Tocopherol, beta",mg,0.03,4,0.004,0.02,0.01
"Tocopherol, gamma",mg,0.12,4,0.004,0.10,0.03
"Tocopherol, delta",mg,0.00,4,0.000,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,--,--,0.0,0.0
"Vitamin D",IU,0,--,--,0,0
"Vitamin K (phylloquinone)",µg,2.0,4,0.159,1.6,0.5
Lipids
"Fatty acids, total saturated",g,1.110,--,--,0.899,0.300
"4:0",g,0.000,--,--,0.000,0.000
"6:0",g,0.000,--,--,0.000,0.000
"8:0",g,0.000,--,--,0.000,0.000
"10:0",g,0.000,--,--,0.000,0.000
"12:0",g,0.020,238,--,0.016,0.005
"14:0",g,0.010,238,--,0.008,0.003
"16:0",g,0.940,238,--,0.761,0.254
"18:0",g,0.060,238,--,0.049,0.016
"Fatty acids, total monounsaturated",g,1.980,--,--,1.604,0.535
"16:1 undifferentiated",g,0.010,238,--,0.008,0.003
"18:1 undifferentiated",g,1.970,238,--,1.596,0.532
"20:1",g,0.000,--,--,0.000,0.000
"22:1 undifferentiated",g,0.000,--,--,0.000,0.000
"Fatty acids, total polyunsaturated",g,2.300,--,--,1.863,0.621
"18:2 undifferentiated",g,2.200,238,--,1.782,0.594
"18:3 undifferentiated",g,0.100,238,--,0.081,0.027
"18:4",g,0.000,--,--,0.000,0.000
"20:4 undifferentiated",g,0.000,--,--,0.000,0.000
"20:5 n-3 (EPA)",g,0.000,--,--,0.000,0.000
"22:5 n-3 (DPA)",g,0.000,--,--,0.000,0.000
"22:6 n-3 (DHA)",g,0.000,--,--,0.000,0.000
"Cholesterol",mg,0,--,--,0,0
Amino Acids
"Tryptophan",g,0.182,--,--,0.147,0.049
"Threonine",g,0.382,--,--,0.309,0.103
"Isoleucine",g,0.503,--,--,0.407,0.136
"Leucine",g,0.980,--,--,0.794,0.265
"Lysine",g,0.637,--,--,0.516,0.172
"Methionine",g,0.207,--,--,0.168,0.056
"Cystine",g,0.455,--,--,0.369,0.123
"Phenylalanine",g,0.665,--,--,0.539,0.180
"Tyrosine",g,0.395,--,--,0.320,0.107
"Valine",g,0.688,--,--,0.557,0.186
"Arginine",g,0.850,--,--,0.688,0.229
"Histidine",g,0.275,--,--,0.223,0.074
"Alanine",g,0.563,--,--,0.456,0.152
"Aspartic acid",g,1.217,--,--,0.986,0.329
"Glutamic acid",g,2.830,--,--,2.292,0.764
"Glycine",g,0.642,--,--,0.520,0.173
"Proline",g,0.451,--,--,0.365,0.122
"Serine",g,0.705,--,--,0.571,0.190
Other
"Alcohol, ethyl",g,0.0,--,--,0.0,0.0
"Caffeine",mg,0,--,--,0,0
"Theobromine",mg,0,--,--,0,0


Sources of Data
1,"Nutrient Data Laboratory, ARS, USDA","National Food and Nutrient Analysis Program Wave 6l",2002,,BeltsvilleMD
2,"I.M. Heinonen, V. Ollilainen, E. Linkola, P. Varo, P. Koivistoinen","Carotenoids and Retinoids in Finnish Foods:  Cereal and Bakery Products",1989,Cereal Chemistry,664 pp. 270-270
